VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WA1E2AFY7N,King,Seattle,WA,98101,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,43,202407068,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007302
WBY1Z6C3XH,King,Bellevue,WA,98008,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,48,246319314,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
1G1FX6S03H,Spokane,Spokane,WA,99203,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,6,348704002,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004200
5YJ3E1EA2P,Snohomish,Edmonds,WA,98026,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,271771790,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050900
5YJ3E1EB2K,Island,Coupeville,WA,98239,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,10,176292056,POINT (-122.68558 48.21857),PUGET SOUND ENERGY INC,53029971100
1G1FY6S00L,Snohomish,Monroe,WA,98272,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,39,258454556,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
5YJSA1E28H,Snohomish,Edmonds,WA,98026,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,21,301534215,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101
1N4AZ0CP4D,Snohomish,Lynnwood,WA,98036,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,1,214431171,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051929
3MW5P9J01M,Snohomish,Edmonds,WA,98026,2021,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,21,272994844,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042005
1FT6W3L74R,Snohomish,Lynnwood,WA,98036,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,274599188,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051929
KM8KMDAF4P,Snohomish,Lake Stevens,WA,98258,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,221237712,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
